요일,법규위반,가해운전자차종,가해운전자성별,가해운전자상해정도,피해운전자상해정도,가해운전자연령,피해운전자차종,피해운전자성별,피해운전자연령,노면상태,기상상태,cleanedAdress,X,Y,사고연도,사고월,사고일,사고시각,사고대분류,사고중분류,사고소분류,도로형태_대,도로형태_중,D.법규위반.과속,D.법규위반.교차로운행방법위반,D.법규위반.기타,D.법규위반.보행자보호의무위반,D.법규위반.불법유턴,D.법규위반.신호위반,D.법규위반.안전거리미확보,D.법규위반.중앙선침범,D.법규위반.직진우회전진행방해,D.법규위반.차로위반,D.노면상태.결빙,D.노면상태.기타,D.노면상태.서리결빙,D.노면상태.습기,D.노면상태.적설,D.노면상태.젖음습기,D.기상상태.기타,D.기상상태.눈,D.기상상태.비,D.기상상태.안개,D.기상상태.흐림,D.가해운전자차종.개인형이동수단PM,D.가해운전자차종.건설기계,D.가해운전자차종.기타불명,D.가해운전자차종.농기계,D.가해운전자차종.사륜오토바이ATV,D.가해운전자차종.승합,D.가해운전자차종.원동기,D.가해운전자차종.이륜,D.가해운전자차종.자전거,D.가해운전자차종.특수,D.가해운전자차종.화물,D.가해운전자성별.기타불명,D.가해운전자성별.여,D.피해운전자차종.공란,D.피해운전자차종.개인형이동수단PM,D.피해운전자차종.건설기계,D.피해운전자차종.기타불명,D.피해운전자차종.농기계,D.피해운전자차종.미분류,D.피해운전자차종.보행자,D.피해운전자차종.사륜오토바이ATV,D.피해운전자차종.승합,D.피해운전자차종.원동기,D.피해운전자차종.이륜,D.피해운전자차종.자전거,D.피해운전자차종.특수,D.피해운전자차종.화물,D.피해운전자성별.공란,D.피해운전자성별.기타불명,D.피해운전자성별.미분류,D.피해운전자성별.여,D.사고대분류.차대사람,D.사고대분류.차량단독,D.사고중분류.공작물충돌,D.사고중분류.기타,D.사고중분류.길가장자리구역통행중,D.사고중분류.도로외이탈,D.사고중분류.보도통행중,D.사고중분류.전도전복,D.사고중분류.정면충돌,D.사고중분류.차도통행중,D.사고중분류.측면직각충돌,D.사고중분류.측면충돌,D.사고중분류.횡단중,D.사고중분류.후진중충돌,D.도로형태_대.기타,D.도로형태_대.단일로,D.도로형태_대.미분류,D.도로형태_대.주차장,D.도로형태_중.고가도로위,D.도로형태_중.교량,D.도로형태_중.교차로안,D.도로형태_중.교차로횡단보도내,D.도로형태_중.기타,D.도로형태_중.미분류,D.도로형태_중.주차장,D.도로형태_중.지하차도내,D.도로형태_중.터널,D.도로형태_중.횡단보도부근,D.도로형태_중.횡단보도상,인명피해 심각도,사망자수,중상자수,경상자수,부상신고자수
금요일,신호위반,화물,남,사망,중상,67,승용,남,41,건조,흐림,충청남도 천안시 서북구 불당동,127.1068427,36.80893574,2018,11,2,6,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,1,0,0
화요일,중앙선침범,화물,남,상해없음,경상,68,이륜,남,69,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2018,10,23,11,차대차,기타,없음,주차장,주차장,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0
월요일,보행자보호의무위반,승합,남,상해없음,중상,66,보행자,남,73,건조,맑음,충청남도 천안시 서북구 와촌동,127.1443816,36.80938883,2019,1,7,7,차대사람,횡단중,없음,교차로,교차로부근,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
목요일,안전운전불이행,승용,남,상해없음,중상,66,이륜,남,80,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2018,8,9,14,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
화요일,안전운전불이행,승용,남,상해없음,경상,76,승용,남,38,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2018,1,2,18,차대차,기타,없음,기타,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
일요일,안전운전불이행,승용,남,상해없음,경상,75,승용,남,33,건조,흐림,충청남도 천안시 동남구 병천면,127.3037955,36.79178618,2018,9,16,12,차대차,추돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0
목요일,안전운전불이행,이륜,남,부상신고,중상,68,보행자,여,68,건조,맑음,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576,2018,11,22,8,차대사람,횡단중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
일요일,차로위반,승용,남,상해없음,경상,66,승용,남,24,건조,맑음,충청남도 천안시 서북구 두정동,127.1422611,36.83186824,2018,11,25,6,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
화요일,안전운전불이행,승용,여,상해없음,경상,73,승용,여,46,건조,맑음,충청남도 천안시 서북구 불당동,127.1068427,36.80893574,2018,8,21,15,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
수요일,안전운전불이행,이륜,남,경상,상해없음,67,승용,여,54,건조,맑음,충청남도 천안시 동남구 사직동,127.148307,36.80092319,2018,12,19,9,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
일요일,안전운전불이행,승용,여,상해없음,중상,74,자전거,남,73,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2018,10,14,16,차대차,기타,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0
수요일,안전운전불이행,승용,남,상해없음,경상,71,승용,여,46,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2018,10,24,8,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
월요일,신호위반,승용,남,상해없음,경상,66,승용,남,37,건조,맑음,충청남도 천안시 서북구 백석동,127.1139785,36.82707391,2018,11,12,19,차대차,정면충돌,없음,교차로,교차로부근,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
수요일,신호위반,이륜,남,경상,상해없음,70,화물,남,78,건조,흐림,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2018,12,5,14,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
수요일,보행자보호의무위반,승용,남,상해없음,경상,67,보행자,남,24,건조,맑음,충청남도 천안시 동남구 신부동,127.1643944,36.82567846,2019,2,13,18,차대사람,횡단중,없음,교차로,교차로횡단보도내,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0
화요일,안전운전불이행,승용,남,상해없음,경상,67,화물,남,48,건조,맑음,충청남도 천안시 서북구 직산읍,127.1504255,36.88987324,2018,2,13,15,차대차,기타,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,승용,남,상해없음,부상신고,76,승용,여,41,건조,맑음,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576,2018,11,23,15,차대차,추돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,1
토요일,안전운전불이행,승용,남,기타불명,경상,65,승용,여,36,건조,맑음,충청남도 천안시 서북구 불당동,127.1068427,36.80893574,2018,10,13,14,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,3,0
토요일,안전운전불이행,승용,남,상해없음,경상,71,화물,남,53,건조,맑음,충청남도 천안시 동남구 사직동,127.148307,36.80092319,2018,9,8,15,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
수요일,교차로운행방법위반,승용,남,상해없음,경상,73,승용,여,47,건조,맑음,충청남도 천안시 서북구 입장면,127.2256147,36.9142991,2018,9,12,13,차대차,측면충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
월요일,보행자보호의무위반,승용,남,상해없음,경상,69,보행자,여,54,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2019,3,25,18,차대사람,횡단중,없음,교차로,교차로횡단보도내,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0
목요일,안전운전불이행,승용,남,상해없음,중상,70,이륜,남,70,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2018,11,15,20,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
월요일,신호위반,이륜,남,중상,경상,65,승용,남,63,건조,맑음,충청남도 천안시 동남구 봉명동,127.1353699,36.81012696,2018,10,29,16,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,1,0
월요일,신호위반,화물,남,상해없음,경상,65,자전거,남,14,건조,맑음,충청남도 천안시 서북구 불당동,127.1068427,36.80893574,2018,12,10,19,차대차,측면충돌,없음,교차로,교차로횡단보도내,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0
월요일,안전운전불이행,승용,남,상해없음,중상,84,보행자,여,90 이상,건조,맑음,충청남도 천안시 동남구 목천읍,127.2176083,36.7887014,2018,11,26,9,차대사람,기타,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
토요일,중앙선침범,승용,남,상해없음,중상,72,승용,남,42,건조,맑음,충청남도 천안시 동남구 동면,127.3616245,36.78355126,2018,12,22,17,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
화요일,안전운전불이행,승용,남,상해없음,경상,65,원동기,남,35,건조,맑음,충청남도 천안시 서북구 성성동,127.1265825,36.84501928,2019,3,12,6,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,1,3
금요일,교차로운행방법위반,화물,남,상해없음,상해없음,75,승합,남,54,건조,맑음,충청남도 천안시 동남구 병천면,127.3037955,36.79178618,2018,3,9,15,차대차,측면충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,승용,남,상해없음,중상,79,보행자,여,71,건조,맑음,충청남도 천안시 동남구 원성동,127.1613401,36.80809978,2018,12,7,14,차대사람,횡단중,없음,교차로,교차로횡단보도내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0
수요일,안전운전불이행,화물,남,상해없음,경상,67,보행자,남,28,건조,맑음,충청남도 천안시 서북구 입장면,127.2256147,36.9142991,2019,1,16,13,차대사람,차도통행중,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
화요일,신호위반,승용,남,상해없음,경상,67,이륜,남,20,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2018,8,28,17,차대차,측면충돌,없음,교차로,교차로부근,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,안전운전불이행,승용,남,상해없음,경상,68,승용,남,58,젖음/습기,흐림,충청남도 천안시 동남구 봉명동,127.1353699,36.81012696,2018,10,26,19,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,1,4,0
토요일,신호위반,승용,남,상해없음,중상,74,이륜,남,36,건조,맑음,충청남도 천안시 서북구 성거읍,127.1914337,36.87689576,2018,9,22,12,차대차,정면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
수요일,신호위반,승용,남,부상신고,경상,65,승용,여,30,건조,맑음,충청남도 천안시 서북구 백석동,127.1139785,36.82707391,2018,10,3,16,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
화요일,신호위반,자전거,남,부상신고,상해없음,83,화물,남,32,건조,맑음,충청남도 천안시 서북구 성환읍,127.1243436,36.93086458,2018,11,27,9,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
화요일,안전운전불이행,자전거,남,경상,상해없음,77,승합,남,52,건조,맑음,충청남도 천안시 동남구 신부동,127.1643944,36.82567846,2018,11,20,16,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
목요일,중앙선침범,승용,남,상해없음,경상,65,승용,남,31,건조,맑음,충청남도 천안시 동남구 풍세면,127.122656,36.73720911,2019,1,3,18,차대차,측면충돌,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0
토요일,교차로운행방법위반,승용,남,상해없음,상해없음,77,승용,남,71,건조,맑음,충청남도 천안시 동남구 영성동,127.151968,36.79954405,2019,1,19,13,차대차,기타,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0
금요일,직진우회전진행방해,승용,남,부상신고,중상,65,이륜,남,80,건조,맑음,충청남도 천안시 서북구 두정동,127.1422611,36.83186824,2018,12,14,12,차대차,측면충돌,없음,교차로,교차로안,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0
토요일,신호위반,승용,여,상해없음,경상,69,승용,여,35,건조,맑음,충청남도 천안시 동남구 광덕면,127.0869169,36.6710256,2018,3,24,15,차대차,기타,없음,교차로,교차로안,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0
화요일,안전운전불이행,화물,남,상해없음,경상,67,승용,남,48,건조,맑음,충청남도 천안시 서북구 쌍용동,127.1231536,36.80108582,2018,7,3,11,차대차,추돌,없음,교차로,교차로부근,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
목요일,중앙선침범,승합,남,상해없음,경상,67,승용,여,28,건조,맑음,충청남도 천안시 동남구 다가동,127.1490991,36.79533004,2019,2,14,18,차대차,기타,없음,단일로,기타,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,6,0
월요일,보행자보호의무위반,승용,여,상해없음,경상,66,보행자,남,40,건조,맑음,충청남도 천안시 동남구 봉명동,127.1353699,36.81012696,2019,4,8,17,차대사람,횡단중,없음,교차로,교차로횡단보도내,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0
금요일,교차로운행방법위반,승용,남,상해없음,경상,76,화물,여,41,젖음/습기,비,충청남도 천안시 동남구 신부동,127.1643944,36.82567846,2018,9,14,20,차대차,측면충돌,없음,교차로,교차로안,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,3,1
일요일,안전운전불이행,자전거,남,중상,상해없음,74,승용,여,45,건조,맑음,충청남도 천안시 동남구 유량동,127.1855724,36.81572572,2018,10,14,18,차대차,측면충돌,없음,교차로,교차로횡단보도내,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,1,0,1
금요일,안전운전불이행,승용,남,상해없음,중상,65,보행자,여,60,건조,맑음,충청남도 천안시 동남구 성남면,127.2325011,36.72908092,2019,1,4,18,차대사람,기타,없음,단일로,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0
